trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",20,0,-67.81098723228291,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.995}",30,0,-143.46657283302008,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.990025}",20,0,-60.65428008640044,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.985074875}",25,0,-146.5557397391264,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.980149500625}",20,0,-134.32322922361956,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.975248753121875}",30,11,-125.56574245624356,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 2}",1
7,False,"{'a': 0.6, 'e': 0.9703725093562656}",20,0,-123.63690613990497,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.6, 'e': 0.9655206468094842}",20,0,-190.83087052047998,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 2}",0
9,False,"{'a': 0.6, 'e': 0.9606930435754368}",25,0,-60.09069139155731,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.9558895783575596}",20,0,-172.45739347626113,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.6, 'e': 0.9511101304657719}",20,0,-123.92576827459631,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.946354579813443}",35,0,-200.6434034200169,"{0: 21, 1: 4, 2: 4, 3: 4, 4: 2}",0
13,False,"{'a': 0.6, 'e': 0.9416228069143757}",20,0,-141.52661052755596,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.6, 'e': 0.9369146928798039}",20,0,-72.06666505931432,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.9322301194154049}",25,0,-79.77750375292392,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.9275689688183278}",35,0,-235.36796965706785,"{0: 19, 1: 3, 2: 8, 3: 2, 4: 3}",0
17,False,"{'a': 0.6, 'e': 0.9229311239742362}",20,0,-72.97197137354155,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.6, 'e': 0.918316468354365}",20,0,-150.00760567956036,"{0: 8, 1: 7, 2: 1, 3: 2, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.9137248860125932}",25,0,-88.24611223089187,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
20,False,"{'a': 0.6, 'e': 0.9091562615825302}",25,0,-199.7870775572412,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
21,False,"{'a': 0.6, 'e': 0.9046104802746175}",25,0,-133.5598091351756,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
22,False,"{'a': 0.6, 'e': 0.9000874278732445}",20,0,-112.8474774515933,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.6, 'e': 0.8955869907338783}",25,0,-172.98011338738795,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
24,False,"{'a': 0.6, 'e': 0.8911090557802088}",20,0,-101.89894747577573,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
25,False,"{'a': 0.6, 'e': 0.8866535105013078}",20,0,-70.4228774986307,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.8822202429488012}",30,0,-182.4362538932755,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
27,False,"{'a': 0.6, 'e': 0.8778091417340572}",20,0,-66.19409434719947,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
28,False,"{'a': 0.6, 'e': 0.873420096025387}",20,0,-73.51454711342245,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
29,False,"{'a': 0.6, 'e': 0.86905299554526}",30,0,-81.93797514069009,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.6, 'e': 0.8647077305675337}",25,0,-193.41775528972977,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
31,False,"{'a': 0.6, 'e': 0.8603841919146961}",20,0,-58.99114580782214,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.6, 'e': 0.8560822709551226}",30,0,-217.96908683622664,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
33,False,"{'a': 0.6, 'e': 0.8518018596003469}",25,0,-97.9989197937766,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",1
34,False,"{'a': 0.6, 'e': 0.8475428503023452}",20,0,-122.59177324042668,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.6, 'e': 0.8433051360508335}",20,0,-146.74261314299133,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
36,False,"{'a': 0.6, 'e': 0.8390886103705792}",25,0,-197.27746663674657,"{0: 14, 1: 0, 2: 5, 3: 4, 4: 2}",0
37,False,"{'a': 0.6, 'e': 0.8348931673187264}",35,0,-165.52486788795994,"{0: 21, 1: 5, 2: 5, 3: 2, 4: 2}",0
38,False,"{'a': 0.6, 'e': 0.8307187014821328}",20,14,-2.1839382770918134,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.6, 'e': 0.826565107974722}",20,0,-168.49399443797984,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
40,False,"{'a': 0.6, 'e': 0.8224322824348484}",30,0,-267.7848551654706,"{0: 12, 1: 6, 2: 7, 3: 1, 4: 4}",0
41,False,"{'a': 0.6, 'e': 0.8183201210226743}",25,0,-124.60805695689788,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
42,False,"{'a': 0.6, 'e': 0.8142285204175609}",30,0,-188.7324747656366,"{0: 18, 1: 0, 2: 7, 3: 3, 4: 2}",0
43,False,"{'a': 0.6, 'e': 0.810157377815473}",20,0,-105.26632907880564,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.6, 'e': 0.8061065909263957}",20,0,-106.76718442591142,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
45,False,"{'a': 0.6, 'e': 0.8020760579717637}",20,0,-130.66331483283034,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
46,False,"{'a': 0.6, 'e': 0.7980656776819048}",20,0,-10.047654343108123,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.6, 'e': 0.7940753492934953}",20,0,-85.19042218966071,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.6, 'e': 0.7901049725470278}",25,0,-167.73777489723602,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
49,False,"{'a': 0.6, 'e': 0.7861544476842928}",25,0,-176.45040532369444,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
50,False,"{'a': 0.6, 'e': 0.7822236754458712}",20,0,-63.609346069492844,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.6, 'e': 0.7783125570686419}",30,0,-130.26644090860492,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
52,False,"{'a': 0.6, 'e': 0.7744209942832987}",20,0,-126.44173691340939,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
53,False,"{'a': 0.6, 'e': 0.7705488893118821}",25,1,-99.09486067790951,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 1}",1
54,False,"{'a': 0.6, 'e': 0.7666961448653228}",20,0,-81.83840754139146,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.6, 'e': 0.7628626641409961}",20,4,-102.99872402557668,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 2}",1
56,False,"{'a': 0.6, 'e': 0.7590483508202912}",25,0,-119.12439690749072,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
57,False,"{'a': 0.6, 'e': 0.7552531090661897}",20,0,-102.50369057441412,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
58,False,"{'a': 0.6, 'e': 0.7514768435208588}",25,0,-149.83585587692784,"{0: 12, 1: 0, 2: 11, 3: 1, 4: 1}",0
59,False,"{'a': 0.6, 'e': 0.7477194593032545}",20,0,-120.167694712913,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
60,False,"{'a': 0.6, 'e': 0.7439808620067382}",20,0,-14.924908969026173,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.6, 'e': 0.7402609576967045}",20,0,-163.1995864272608,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
62,False,"{'a': 0.6, 'e': 0.736559652908221}",25,0,-143.36099753561584,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
63,False,"{'a': 0.6, 'e': 0.7328768546436798}",30,0,-268.6675566935371,"{0: 14, 1: 4, 2: 6, 3: 2, 4: 4}",0
64,False,"{'a': 0.6, 'e': 0.7292124703704614}",25,2,-30.514370859977387,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 0}",1
65,False,"{'a': 0.6, 'e': 0.7255664080186092}",20,0,-142.3932114707298,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
66,False,"{'a': 0.6, 'e': 0.7219385759785161}",20,0,-106.48010877718029,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
67,False,"{'a': 0.6, 'e': 0.7183288830986235}",20,0,-177.2128213368722,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
68,False,"{'a': 0.6, 'e': 0.7147372386831303}",20,0,-82.81367329497363,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
69,False,"{'a': 0.6, 'e': 0.7111635524897147}",20,3,-94.97275216142091,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 1}",1
70,False,"{'a': 0.6, 'e': 0.7076077347272661}",25,19,-3.1444660189025737,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.6, 'e': 0.7040696960536298}",25,0,-44.165728959162685,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.6, 'e': 0.7005493475733616}",25,11,-73.66977684198805,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
73,False,"{'a': 0.6, 'e': 0.6970466008354949}",30,0,-135.1164610740215,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
74,False,"{'a': 0.6, 'e': 0.6935613678313174}",25,0,-179.27790686038315,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
75,False,"{'a': 0.6, 'e': 0.6900935609921608}",25,0,-112.7942129487919,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
76,False,"{'a': 0.6, 'e': 0.6866430931872}",20,0,-45.46392073003824,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
77,False,"{'a': 0.6, 'e': 0.683209877721264}",25,0,11.160302464896903,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.6, 'e': 0.6797938283326577}",20,0,-131.62321207056743,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
79,False,"{'a': 0.6, 'e': 0.6763948591909944}",20,0,-112.18193809744967,"{0: 8, 1: 2, 2: 9, 3: 1, 4: 0}",0
80,False,"{'a': 0.6, 'e': 0.6730128848950394}",30,0,-127.42688728611104,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
81,False,"{'a': 0.6, 'e': 0.6696478204705641}",20,0,-64.47028398085027,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
82,False,"{'a': 0.6, 'e': 0.6662995813682113}",20,0,-115.67319384143515,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
83,False,"{'a': 0.6, 'e': 0.6629680834613703}",25,0,-71.3275722539281,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
84,False,"{'a': 0.6, 'e': 0.6596532430440635}",20,11,-126.89810909088024,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 3}",1
85,False,"{'a': 0.6, 'e': 0.6563549768288431}",30,13,-51.610447236273686,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
86,False,"{'a': 0.6, 'e': 0.653073201944699}",20,0,-57.8550080133131,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
87,False,"{'a': 0.6, 'e': 0.6498078359349754}",25,0,-161.3297744853468,"{0: 13, 1: 0, 2: 8, 3: 3, 4: 1}",0
88,False,"{'a': 0.6, 'e': 0.6465587967553006}",25,19,1.9463725720769132,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.6, 'e': 0.6433260027715241}",30,0,-132.16404116614325,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
90,False,"{'a': 0.6, 'e': 0.6401093727576664}",25,5,-166.16722625144865,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",1
91,False,"{'a': 0.6, 'e': 0.6369088258938781}",25,5,-111.9771216151638,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",1
92,False,"{'a': 0.6, 'e': 0.6337242817644086}",25,9,-92.02140360291526,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
93,False,"{'a': 0.6, 'e': 0.6305556603555866}",20,0,-157.26210141971035,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
94,False,"{'a': 0.6, 'e': 0.6274028820538087}",20,6,-39.33666915255289,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.6, 'e': 0.6242658676435396}",20,0,-80.01525058940064,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
96,False,"{'a': 0.6, 'e': 0.621144538305322}",20,10,-19.33399607213458,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
97,False,"{'a': 0.6, 'e': 0.6180388156137954}",20,14,-11.020183567278972,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.6149486215357264}",25,0,-123.34545131567982,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
99,False,"{'a': 0.6, 'e': 0.6118738784280477}",30,0,-37.38716859680893,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
100,False,"{'a': 0.6, 'e': 0.6088145090359075}",20,0,-93.79889683592444,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
101,False,"{'a': 0.6, 'e': 0.6057704364907279}",20,9,-77.55680881987642,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
102,False,"{'a': 0.6, 'e': 0.6027415843082743}",25,8,-94.13853958863798,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 1}",1
103,False,"{'a': 0.6, 'e': 0.599727876386733}",20,6,-24.199455976440888,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
104,False,"{'a': 0.6, 'e': 0.5967292370047993}",30,0,-96.97540395773149,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
105,False,"{'a': 0.6, 'e': 0.5937455908197753}",20,0,-77.05943995796329,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.6, 'e': 0.5907768628656764}",35,15,-30.884335746722876,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
107,False,"{'a': 0.6, 'e': 0.587822978551348}",30,0,-188.28889061972728,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
108,False,"{'a': 0.6, 'e': 0.5848838636585912}",35,13,-197.5175594679185,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 4}",1
109,False,"{'a': 0.6, 'e': 0.5819594443402983}",25,0,-145.76418622457047,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
110,False,"{'a': 0.6, 'e': 0.5790496471185967}",30,0,-92.24725598715904,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
111,False,"{'a': 0.6, 'e': 0.5761543988830038}",20,0,-34.44481897339732,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
112,False,"{'a': 0.6, 'e': 0.5732736268885887}",25,0,-57.38876648644067,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
113,False,"{'a': 0.6, 'e': 0.5704072587541459}",30,14,-139.01193781807896,"{0: 9, 1: 1, 2: 1, 3: 3, 4: 2}",1
114,False,"{'a': 0.6, 'e': 0.5675552224603752}",20,14,8.317695621538045,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.6, 'e': 0.5647174463480732}",20,0,-155.25288477977068,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
116,False,"{'a': 0.6, 'e': 0.5618938591163328}",30,0,-176.73976555506295,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",1
117,False,"{'a': 0.6, 'e': 0.5590843898207511}",35,0,-146.29231870033234,"{0: 25, 1: 2, 2: 5, 3: 0, 4: 3}",0
118,False,"{'a': 0.6, 'e': 0.5562889678716474}",20,0,-67.50182927196808,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.6, 'e': 0.5535075230322892}",30,19,-95.31142841039751,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 2}",1
120,False,"{'a': 0.6, 'e': 0.5507399854171278}",20,0,-86.5847766408786,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
121,False,"{'a': 0.6, 'e': 0.5479862854900421}",20,0,-18.35169200385495,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.6, 'e': 0.5452463540625919}",20,0,-35.04369561616283,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
123,False,"{'a': 0.6, 'e': 0.542520122292279}",30,0,-131.98933662568933,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
124,False,"{'a': 0.6, 'e': 0.5398075216808176}",30,0,-68.60789515231657,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
125,False,"{'a': 0.6, 'e': 0.5371084840724134}",30,0,-46.32687630551538,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
126,False,"{'a': 0.6, 'e': 0.5344229416520514}",25,0,-64.01209953605557,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
127,False,"{'a': 0.6, 'e': 0.5317508269437912}",20,0,-71.2156979711086,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
128,False,"{'a': 0.6, 'e': 0.5290920728090721}",20,9,-20.2121203598834,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.5264466124450268}",20,0,-64.27109740000516,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
130,False,"{'a': 0.6, 'e': 0.5238143793828016}",20,0,-18.904833816398725,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
131,False,"{'a': 0.6, 'e': 0.5211953074858876}",25,0,-67.3575119517169,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.6, 'e': 0.5185893309484582}",20,10,6.907688825505433,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.6, 'e': 0.515996384293716}",25,0,-69.43562782845571,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
134,False,"{'a': 0.6, 'e': 0.5134164023722474}",20,6,-25.824888209261186,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
135,False,"{'a': 0.6, 'e': 0.5108493203603861}",25,3,-46.09498860392457,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
136,False,"{'a': 0.6, 'e': 0.5082950737585842}",25,0,-50.38587478945938,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
137,False,"{'a': 0.6, 'e': 0.5057535983897913}",20,5,-16.212563648445492,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
138,False,"{'a': 0.6, 'e': 0.5032248303978423}",30,0,-155.1164059457884,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
139,False,"{'a': 0.6, 'e': 0.5007087062458531}",20,12,4.443944484610537,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.6, 'e': 0.4982051627146238}",20,0,4.492918153516425,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.6, 'e': 0.4957141369010507}",20,0,-126.02746502621736,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
142,False,"{'a': 0.6, 'e': 0.4932355662165454}",25,5,-27.122660518216414,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
143,False,"{'a': 0.6, 'e': 0.4907693883854627}",30,6,-264.3886595324195,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 5}",1
144,False,"{'a': 0.6, 'e': 0.4883155414435354}",30,0,-211.11248219494234,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
145,False,"{'a': 0.6, 'e': 0.4858739637363177}",20,0,-121.35659211798048,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
146,False,"{'a': 0.6, 'e': 0.4834445939176361}",20,0,-194.95006155832257,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
147,False,"{'a': 0.6, 'e': 0.4810273709480479}",25,0,-124.52053673270832,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
148,False,"{'a': 0.6, 'e': 0.4786222340933077}",30,10,-101.66844245737862,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",1
149,False,"{'a': 0.6, 'e': 0.47622912292284114}",35,21,-47.86940140973018,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
150,False,"{'a': 0.6, 'e': 0.4738479773082269}",25,12,-8.81789482957492,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.6, 'e': 0.4714787374216858}",20,0,-79.47254728066075,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
152,False,"{'a': 0.6, 'e': 0.46912134373457737}",25,12,-42.22554900170509,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
153,False,"{'a': 0.6, 'e': 0.46677573701590447}",20,15,3.9331619057831047,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.6, 'e': 0.46444185833082496}",30,0,-80.58850056269382,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
155,False,"{'a': 0.6, 'e': 0.46211964903917085}",20,0,-94.69235724882279,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
156,False,"{'a': 0.6, 'e': 0.459809050793975}",20,0,2.3954445282833943,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.4575100055400051}",20,0,-29.210116560881023,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
158,False,"{'a': 0.6, 'e': 0.45522245551230506}",20,11,-32.62003436829629,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
159,False,"{'a': 0.6, 'e': 0.45294634323474353}",25,12,-6.121539711333336,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.6, 'e': 0.45068161151856984}",25,13,-8.685941905325427,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.6, 'e': 0.44842820346097695}",35,0,-136.46819447204473,"{0: 30, 1: 0, 2: 1, 3: 0, 4: 4}",0
162,False,"{'a': 0.6, 'e': 0.4461860624436721}",25,0,-135.8530358268698,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
163,False,"{'a': 0.6, 'e': 0.4439551321314537}",20,0,-82.31093000196628,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
164,False,"{'a': 0.6, 'e': 0.4417353564707964}",20,8,-14.249326368045434,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.43952667968844245}",25,5,-20.7318795570196,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
166,False,"{'a': 0.6, 'e': 0.43732904629000025}",25,8,-26.047572930942227,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
167,False,"{'a': 0.6, 'e': 0.43514240105855023}",25,5,-10.981171173035424,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.6, 'e': 0.4329666890532575}",20,1,-16.853809707923794,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
169,False,"{'a': 0.6, 'e': 0.4308018556079912}",20,0,-60.90324822330197,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
170,False,"{'a': 0.6, 'e': 0.42864784632995123}",25,0,-54.09203681569776,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
171,False,"{'a': 0.6, 'e': 0.4265046070983015}",20,0,-58.893053851787734,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
172,False,"{'a': 0.6, 'e': 0.42437208406280996}",30,4,-52.33070127566662,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 1}",1
173,False,"{'a': 0.6, 'e': 0.4222502236424959}",30,0,-85.2560659910992,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
174,False,"{'a': 0.6, 'e': 0.42013897252428345}",20,0,-89.9456337443576,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
175,False,"{'a': 0.6, 'e': 0.418038277661662}",20,6,-30.887085665159418,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
176,False,"{'a': 0.6, 'e': 0.4159480862733537}",20,7,-29.49497187533822,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
177,False,"{'a': 0.6, 'e': 0.41386834584198695}",30,20,3.5470663097155546,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.6, 'e': 0.41179900411277703}",25,8,-104.34353612834418,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
179,False,"{'a': 0.6, 'e': 0.40974000909221314}",20,8,-25.61939173996537,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.6, 'e': 0.40769130904675205}",20,0,-34.1559751433083,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
181,False,"{'a': 0.6, 'e': 0.4056528525015183}",20,7,-57.68611085780126,"{0: 6, 1: 1, 2: 6, 3: 0, 4: 0}",1
182,False,"{'a': 0.6, 'e': 0.4036245882390107}",30,0,-43.92382642596772,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
183,False,"{'a': 0.6, 'e': 0.40160646529781563}",25,0,-115.89952154344148,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
184,False,"{'a': 0.6, 'e': 0.3995984329713266}",20,6,14.061913924548808,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
